Installed packages
flexiblas-openblas-openmp.x86_64                     3.5.0-1.fc43                        
flexiblas-openblas-openmp64.x86_64                   3.5.0-1.fc43                        
flexiblas-openblas-serial.x86_64                     3.5.0-1.fc43                        
flexiblas-openblas-serial64.x86_64                   3.5.0-1.fc43                        
flexiblas-openblas-threads.x86_64                    3.5.0-1.fc43                        
flexiblas-openblas-threads64.x86_64                  3.5.0-1.fc43                        
flite.x86_64                                         2.2-12.fc43                         
fmt.x86_64                                           11.2.0-3.fc43                       
fontawesome4-fonts.noarch                            1:4.7.0-25.fc43                     
fontconfig.x86_64                                    2.17.0-3.fc43                       
fontconfig-devel.x86_64                              2.17.0-3.fc43                       
fonts-filesystem.noarch                              1:2.0.5-23.fc43                     
fpaste.noarch                                        0.5.0.0-3.fc43                      
fprintd.x86_64                                       1.94.5-2.fc43                       
fprintd-pam.x86_64                                   1.94.5-2.fc43                       
freeglut.x86_64                                      3.8.0-1.fc43                        
freerdp-libs.x86_64                                  2:3.24.2-1.fc43                     
freetype.x86_64                                      2.13.3-3.fc43                       
freetype-devel.x86_64                                2.13.3-3.fc43                       
fribidi.x86_64                                       1.0.16-3.fc43                       
fribidi-devel.x86_64                                 1.0.16-3.fc43                       
fstrm.x86_64                                         0.6.1-13.fc43                       
fuse.x86_64                                          2.9.9-24.fc43                       
fuse-common.x86_64                                   3.16.2-6.fc43                       
fuse3.x86_64                                         3.16.2-6.fc43                       
fuse3-libs.x86_64                                    3.16.2-6.fc43                       
fwupd.x86_64                                         2.0.20-1.fc43                       
fwupd-efi.x86_64                                     1.8-1.fc43                          
fwupd-plugin-flashrom.x86_64                         2.0.20-1.fc43                       
fwupd-plugin-modem-manager.x86_64                    2.0.20-1.fc43                       
fwupd-plugin-uefi-capsule-data.x86_64                2.0.20-1.fc43                       
galculator.x86_64                                    2.1.4-24.fc43                       
game-music-emu.x86_64                                0.6.4-2.fc43                        
garcon.x86_64                                        4.20.0-3.fc43                       
gawk.x86_64                                          5.3.2-2.fc43                        
gawk-all-langpacks.x86_64                            5.3.2-2.fc43                        
gcc.x86_64                                           15.2.1-7.fc43                       
gcc-c++.x86_64                                       15.2.1-7.fc43                       
gcc-gfortran.x86_64                                  15.2.1-7.fc43                       
gcr-libs.x86_64                                      4.4.0.1-4.fc43                      
gcr3.x86_64                                          3.41.1-11.fc43                      
